epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4937,1.48655,2.90431,1.29602,0.00356,0.95876,0.5653,0.25369,1.44065,3.61076,1.16505,0.00042,0.00042,0.00042
2,98.03,1.46472,1.95879,1.24353,0.00303,0.81443,0.00784,0.00296,1.58972,4.1385,1.47152,0.00083162,0.00083162,0.00083162
3,148.728,1.4577,1.78935,1.22037,0.49334,0.23711,0.26975,0.11452,1.65392,3.46998,1.39682,0.0012142,0.0012142,0.0012142
4,203.809,1.46567,1.73176,1.25977,0.12789,0.26804,0.0864,0.03819,1.68627,3.66806,1.48188,0.00156774,0.00156774,0.00156774
5,253.645,1.50229,1.66982,1.28934,0.32754,0.35052,0.22169,0.11221,1.67089,4.0974,1.49024,0.001736,0.001736,0.001736
6,302.988,1.51788,1.51975,1.25024,0.62785,0.48703,0.50775,0.23637,1.72548,2.19302,1.50198,0.00167,0.00167,0.00167
7,357.898,1.5132,1.49691,1.30344,0.71468,0.56813,0.61449,0.32908,1.62032,2.63081,1.56545,0.001604,0.001604,0.001604
8,406.601,1.39545,1.32944,1.21322,0.73194,0.57732,0.65933,0.36078,1.72232,1.93241,1.45859,0.001538,0.001538,0.001538
9,452.976,1.44294,1.26991,1.25271,0.63614,0.5567,0.57669,0.28666,1.77973,2.20107,1.53634,0.001472,0.001472,0.001472
10,501.182,1.34849,1.15269,1.22102,0.79204,0.7068,0.79838,0.43862,1.62061,1.59576,1.38606,0.001406,0.001406,0.001406
11,553.833,1.40388,1.14704,1.23257,0.74491,0.63224,0.6965,0.38163,1.63761,1.88418,1.42815,0.00134,0.00134,0.00134
12,604.13,1.33584,1.0882,1.19791,0.8416,0.7732,0.84989,0.41638,1.66051,1.33331,1.38849,0.001274,0.001274,0.001274
13,653.051,1.32528,1.01718,1.16359,0.89703,0.81443,0.87632,0.46277,1.5804,1.21324,1.36035,0.001208,0.001208,0.001208
14,704.59,1.32068,0.95099,1.21237,0.8994,0.82952,0.8568,0.442,1.61665,1.14918,1.39344,0.001142,0.001142,0.001142
15,754.063,1.31456,0.95676,1.17419,0.89886,0.83505,0.90697,0.50717,1.54562,1.1797,1.36418,0.001076,0.001076,0.001076
16,801.284,1.33755,0.97557,1.18772,0.90265,0.87629,0.91383,0.50488,1.5213,1.09116,1.33391,0.00101,0.00101,0.00101
17,847.529,1.25522,0.8906,1.15464,0.89274,0.78351,0.88502,0.49911,1.4854,1.08965,1.31452,0.000944,0.000944,0.000944
18,892.91,1.26734,0.86455,1.14098,0.92625,0.82474,0.90733,0.51147,1.48926,1.03029,1.2716,0.000878,0.000878,0.000878
19,937.602,1.28924,0.85642,1.15333,0.90232,0.86598,0.89637,0.50074,1.51342,1.05271,1.30734,0.000812,0.000812,0.000812
20,985.176,1.24695,0.81779,1.14932,0.92518,0.83505,0.8793,0.50753,1.48133,1.03945,1.27457,0.000746,0.000746,0.000746
21,1033.88,1.24009,0.89309,1.1469,0.91327,0.84536,0.91723,0.5121,1.48875,1.07061,1.27379,0.00068,0.00068,0.00068
22,1080.52,1.23124,0.83614,1.14799,0.81967,0.83505,0.86184,0.46977,1.48544,1.11456,1.28713,0.000614,0.000614,0.000614
23,1127.09,1.18095,0.78684,1.1168,0.92232,0.85682,0.92901,0.5245,1.47707,0.93705,1.27371,0.000548,0.000548,0.000548
24,1179.99,1.16285,0.75946,1.11346,0.8698,0.84536,0.88839,0.49943,1.49684,0.95104,1.2676,0.000482,0.000482,0.000482
